AUID_ATTNS,Waterbody Type,Use,Use_Category,overallStatus,Name_AU,Shape_4_Summary,AU_Shape_Unit
AK_B_1010204_004,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Refuge Cove Beach,0.40316680529,miles
AK_B_1010204_004,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Refuge Cove Beach,0.40316680529,miles
AK_B_1010204_004,Marine,WATER RECREATION,5,Not Supporting,Refuge Cove Beach,0.40316680529,miles
AK_B_1010204_004,Marine,WATER RECREATION,2,Fully Supporting,Refuge Cove Beach,0.40316680529,miles
AK_B_1010204_004,Marine,WATER SUPPLY,5,Not Supporting,Refuge Cove Beach,0.40316680529,miles
AK_B_1010204_004,Marine,WATER SUPPLY,2,Fully Supporting,Refuge Cove Beach,0.40316680529,miles
AK_B_1010204_005,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Thomas Basin Harbor,0.485961075496,miles
AK_B_1010204_005,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Thomas Basin Harbor,0.485961075496,miles
AK_B_1010204_005,Marine,WATER RECREATION,5,Not Supporting,Thomas Basin Harbor,0.485961075496,miles
AK_B_1010204_005,Marine,WATER SUPPLY,5,Not Supporting,Thomas Basin Harbor,0.485961075496,miles
AK_B_1010204_006,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Seaport Beach,0.261708606425,miles
AK_B_1010204_006,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Seaport Beach,0.261708606425,miles
AK_B_1010204_006,Marine,WATER RECREATION,5,Not Supporting,Seaport Beach,0.261708606425,miles
AK_B_1010204_006,Marine,WATER RECREATION,2,Fully Supporting,Seaport Beach,0.261708606425,miles
AK_B_1010204_006,Marine,WATER SUPPLY,5,Not Supporting,Seaport Beach,0.261708606425,miles
AK_B_1010204_006,Marine,WATER SUPPLY,2,Fully Supporting,Seaport Beach,0.261708606425,miles
AK_B_1010204_007,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Rotary Pool,0.141445043964,miles
AK_B_1010204_007,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Rotary Pool,0.141445043964,miles
AK_B_1010204_007,Marine,WATER RECREATION,5,Not Supporting,Rotary Pool,0.141445043964,miles
AK_B_1010204_007,Marine,WATER RECREATION,2,Fully Supporting,Rotary Pool,0.141445043964,miles
AK_B_1010204_007,Marine,WATER SUPPLY,5,Not Supporting,Rotary Pool,0.141445043964,miles
AK_B_1010204_007,Marine,WATER SUPPLY,2,Fully Supporting,Rotary Pool,0.141445043964,miles
AK_B_1010204_008,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Rotary Park Beach,0.194667088457,miles
AK_B_1010204_008,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Rotary Park Beach,0.194667088457,miles
AK_B_1010204_008,Marine,WATER RECREATION,5,Not Supporting,Rotary Park Beach,0.194667088457,miles
AK_B_1010204_008,Marine,WATER RECREATION,2,Fully Supporting,Rotary Park Beach,0.194667088457,miles
AK_B_1010204_008,Marine,WATER SUPPLY,5,Not Supporting,Rotary Park Beach,0.194667088457,miles
AK_B_1010204_008,Marine,WATER SUPPLY,2,Fully Supporting,Rotary Park Beach,0.194667088457,miles
AK_B_1010205_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Herring Cove,0.216703616202,miles
AK_B_1010205_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Herring Cove,0.216703616202,miles
AK_B_1010205_001,Marine,WATER RECREATION,5,Not Supporting,Herring Cove,0.216703616202,miles
AK_B_1010205_001,Marine,WATER SUPPLY,5,Not Supporting,Herring Cove,0.216703616202,miles
AK_B_1010208_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Mountain Pt Cultural Food Beach,0.209819315815,miles
AK_B_1010208_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Mountain Pt Cultural Food Beach,0.209819315815,miles
AK_B_1010208_001,Marine,WATER RECREATION,5,Not Supporting,Mountain Pt Cultural Food Beach,0.209819315815,miles
AK_B_1010208_001,Marine,WATER SUPPLY,5,Not Supporting,Mountain Pt Cultural Food Beach,0.209819315815,miles
AK_B_1010208_002,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Mountain Pt Surprise Beach,0.138883411844,miles
AK_B_1010208_002,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Mountain Pt Surprise Beach,0.138883411844,miles
AK_B_1010208_002,Marine,WATER RECREATION,5,Not Supporting,Mountain Pt Surprise Beach,0.138883411844,miles
AK_B_1010208_002,Marine,WATER RECREATION,2,Fully Supporting,Mountain Pt Surprise Beach,0.138883411844,miles
AK_B_1010208_002,Marine,WATER SUPPLY,5,Not Supporting,Mountain Pt Surprise Beach,0.138883411844,miles
AK_B_1010208_002,Marine,WATER SUPPLY,2,Fully Supporting,Mountain Pt Surprise Beach,0.138883411844,miles
AK_B_2030218_002,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,North Kenai Beach,0.546526770472,miles
AK_B_2030218_002,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,North Kenai Beach,0.546526770472,miles
AK_B_2030218_002,Marine,WATER RECREATION,5,Not Supporting,North Kenai Beach,0.546526770472,miles
AK_B_2030218_002,Marine,WATER SUPPLY,5,Not Supporting,North Kenai Beach,0.546526770472,miles
AK_B_2030218_003,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,South Kenai Beach,0.399001180627,miles
AK_B_2030218_003,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,South Kenai Beach,0.399001180627,miles
AK_B_2030218_003,Marine,WATER RECREATION,5,Not Supporting,South Kenai Beach,0.399001180627,miles
AK_B_2030218_003,Marine,WATER SUPPLY,5,Not Supporting,South Kenai Beach,0.399001180627,miles
AK_L_2030212_001,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Kenai Lake,22.0266112147,acres
AK_L_2030212_001,Freshwater,WATER RECREATION,3,Not Assessed,Kenai Lake,22.0266112147,acres
AK_L_2030212_001,Freshwater,WATER SUPPLY,3,Not Assessed,Kenai Lake,22.0266112147,acres
AK_L_2040106_003,Freshwater,WATER RECREATION,3,Not Assessed,Campbell Lake,0.19606345127,acres
AK_L_2040106_003,Freshwater,WATER SUPPLY,5,Not Supporting,Campbell Lake,0.19606345127,acres
AK_L_2040106_003,Freshwater,WATER SUPPLY,3,Not Assessed,Campbell Lake,0.19606345127,acres
AK_L_2040108_055,Freshwater,WATER RECREATION,5,Not Supporting,University Lake,0.0360741514255,acres
AK_L_2040108_055,Freshwater,WATER SUPPLY,5,Not Supporting,University Lake,0.0360741514255,acres
AK_L_2040108_060,Freshwater,WATER RECREATION,5,Not Supporting,Westchester Lagoon,0.0929326134373,acres
AK_L_2040108_060,Freshwater,WATER SUPPLY,5,Not Supporting,Westchester Lagoon,0.0929326134373,acres
AK_L_2040108_063,Freshwater,WATER RECREATION,3,Not Assessed,Hood/Spenard Lake,0.29848976665,acres
AK_L_2040108_063,Freshwater,WATER RECREATION,2,Fully Supporting,Hood/Spenard Lake,0.29848976665,acres
AK_L_2040108_063,Freshwater,WATER SUPPLY,2,Fully Supporting,Hood/Spenard Lake,0.29848976665,acres
AK_L_8030609_003,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",5,Not Supporting,Chena Lake,0.347276802711,acres
AK_L_8030609_003,Freshwater,WATER RECREATION,5,Not Supporting,Chena Lake,0.347276802711,acres
AK_L_8030609_003,Freshwater,WATER RECREATION,2,Fully Supporting,Chena Lake,0.347276802711,acres
AK_L_8030609_003,Freshwater,WATER SUPPLY,2,Fully Supporting,Chena Lake,0.347276802711,acres
AK_L_8030609_003,Freshwater,WATER SUPPLY,5,Not Supporting,Chena Lake,0.347276802711,acres
AK_L_8030709_001,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Birch Lake,1.20931283574,acres
AK_L_8030709_001,Freshwater,WATER RECREATION,5,Not Supporting,Birch Lake,1.20931283574,acres
AK_L_8030709_001,Freshwater,WATER RECREATION,2,Fully Supporting,Birch Lake,1.20931283574,acres
AK_L_8030709_001,Freshwater,WATER SUPPLY,5,Not Supporting,Birch Lake,1.20931283574,acres
AK_M_1010204_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Carlanna Creek-Frontal Tongass Narrows,10.8810335193,square miles
AK_M_1010204_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Carlanna Creek-Frontal Tongass Narrows,10.8810335193,square miles
AK_M_1010204_000,Marine,WATER RECREATION,2,Fully Supporting,Carlanna Creek-Frontal Tongass Narrows,10.8810335193,square miles
AK_M_1010204_000,Marine,WATER RECREATION,3,Not Assessed,Carlanna Creek-Frontal Tongass Narrows,10.8810335193,square miles
AK_M_1010204_000,Marine,WATER SUPPLY,5,Not Supporting,Carlanna Creek-Frontal Tongass Narrows,10.8810335193,square miles
AK_M_1010204_000,Marine,WATER SUPPLY,2,Fully Supporting,Carlanna Creek-Frontal Tongass Narrows,10.8810335193,square miles
AK_M_1010204_008,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Ward Cove,0.392410197989,square miles
AK_M_1010204_008,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Ward Cove,0.392410197989,square miles
AK_M_1010204_008,Marine,WATER RECREATION,2,Fully Supporting,Ward Cove,0.392410197989,square miles
AK_M_1010204_008,Marine,WATER RECREATION,3,Not Assessed,Ward Cove,0.392410197989,square miles
AK_M_1010204_008,Marine,WATER SUPPLY,5,Not Supporting,Ward Cove,0.392410197989,square miles
AK_M_1010204_008,Marine,WATER SUPPLY,2,Fully Supporting,Ward Cove,0.392410197989,square miles
AK_M_1010204_011,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Tongass Narrows combined,4.07937798822,square miles
AK_M_1010204_011,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Tongass Narrows combined,4.07937798822,square miles
AK_M_1010204_011,Marine,WATER RECREATION,5,Not Supporting,Tongass Narrows combined,4.07937798822,square miles
AK_M_1010204_011,Marine,WATER RECREATION,2,Fully Supporting,Tongass Narrows combined,4.07937798822,square miles
AK_M_1010204_011,Marine,WATER SUPPLY,5,Not Supporting,Tongass Narrows combined,4.07937798822,square miles
AK_M_1010204_011,Marine,WATER SUPPLY,2,Fully Supporting,Tongass Narrows combined,4.07937798822,square miles
AK_M_1010207_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Bostwick Inlet-Frontal Nichols Passage,95.8804597896,square miles
AK_M_1010207_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Bostwick Inlet-Frontal Nichols Passage,95.8804597896,square miles
AK_M_1010207_000,Marine,WATER RECREATION,3,Not Assessed,Bostwick Inlet-Frontal Nichols Passage,95.8804597896,square miles
AK_M_1010207_000,Marine,WATER SUPPLY,3,Not Assessed,Bostwick Inlet-Frontal Nichols Passage,95.8804597896,square miles
AK_M_1010210_003,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Inside Passage Gravina Island-Frontal Clarence Strait,22.3632042695,square miles
AK_M_1010210_003,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Inside Passage Gravina Island-Frontal Clarence Strait,22.3632042695,square miles
AK_M_1010210_003,Marine,WATER RECREATION,3,Not Assessed,Inside Passage Gravina Island-Frontal Clarence Strait,22.3632042695,square miles
AK_M_1010210_003,Marine,WATER SUPPLY,3,Not Assessed,Inside Passage Gravina Island-Frontal Clarence Strait,22.3632042695,square miles
AK_M_1020608_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Limestone Inlet-Frontal Stephens Passage,39.1112944783,square miles
AK_M_1020608_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Limestone Inlet-Frontal Stephens Passage,39.1112944783,square miles
AK_M_1020608_000,Marine,WATER RECREATION,3,Not Assessed,Limestone Inlet-Frontal Stephens Passage,39.1112944783,square miles
AK_M_1020608_000,Marine,WATER SUPPLY,3,Not Assessed,Limestone Inlet-Frontal Stephens Passage,39.1112944783,square miles
AK_M_1020612_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Holkham Bay-Frontal Stephens Passage,80.8345468521,square miles
AK_M_1020612_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Holkham Bay-Frontal Stephens Passage,80.8345468521,square miles
AK_M_1020612_000,Marine,WATER RECREATION,3,Not Assessed,Holkham Bay-Frontal Stephens Passage,80.8345468521,square miles
AK_M_1020612_000,Marine,WATER SUPPLY,3,Not Assessed,Holkham Bay-Frontal Stephens Passage,80.8345468521,square miles
AK_M_1020902_005,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Shoemaker Bay - Wrangell South,2.90489890687,square miles
AK_M_1020902_005,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Shoemaker Bay - Wrangell South,2.90489890687,square miles
AK_M_1020902_005,Marine,WATER RECREATION,3,Not Assessed,Shoemaker Bay - Wrangell South,2.90489890687,square miles
AK_M_1020902_005,Marine,WATER SUPPLY,3,Not Assessed,Shoemaker Bay - Wrangell South,2.90489890687,square miles
AK_M_1020903_010,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Stikine Strait,45.3600956062,square miles
AK_M_1020903_010,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Stikine Strait,45.3600956062,square miles
AK_M_1020903_010,Marine,WATER RECREATION,3,Not Assessed,Stikine Strait,45.3600956062,square miles
AK_M_1020903_010,Marine,WATER SUPPLY,3,Not Assessed,Stikine Strait,45.3600956062,square miles
AK_M_1020904_004,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Wrangell Harbor,1.82560867491,square miles
AK_M_1020904_004,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Wrangell Harbor,1.82560867491,square miles
AK_M_1020904_004,Marine,WATER RECREATION,2,Fully Supporting,Wrangell Harbor,1.82560867491,square miles
AK_M_1020904_004,Marine,WATER RECREATION,3,Not Assessed,Wrangell Harbor,1.82560867491,square miles
AK_M_1020904_004,Marine,WATER SUPPLY,2,Fully Supporting,Wrangell Harbor,1.82560867491,square miles
AK_M_1021008_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Tebenkof Bay-Frontal Chatham Strait,77.3250680091,square miles
AK_M_1021008_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Tebenkof Bay-Frontal Chatham Strait,77.3250680091,square miles
AK_M_1021008_000,Marine,WATER RECREATION,3,Not Assessed,Tebenkof Bay-Frontal Chatham Strait,77.3250680091,square miles
AK_M_1021008_000,Marine,WATER SUPPLY,3,Not Assessed,Tebenkof Bay-Frontal Chatham Strait,77.3250680091,square miles
AK_M_1021010_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Petersburg Creek-Frontal Wrangell Narrows,0.390401889668,square miles
AK_M_1021010_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Petersburg Creek-Frontal Wrangell Narrows,0.390401889668,square miles
AK_M_1021010_000,Marine,WATER RECREATION,2,Fully Supporting,Petersburg Creek-Frontal Wrangell Narrows,0.390401889668,square miles
AK_M_1021010_000,Marine,WATER RECREATION,3,Not Assessed,Petersburg Creek-Frontal Wrangell Narrows,0.390401889668,square miles
AK_M_1021010_000,Marine,WATER SUPPLY,2,Fully Supporting,Petersburg Creek-Frontal Wrangell Narrows,0.390401889668,square miles
AK_M_1021010_008,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Petersburg Marine Assessment Unit,2.6733629131,square miles
AK_M_1021010_008,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Petersburg Marine Assessment Unit,2.6733629131,square miles
AK_M_1021010_008,Marine,WATER RECREATION,2,Fully Supporting,Petersburg Marine Assessment Unit,2.6733629131,square miles
AK_M_1021010_008,Marine,WATER RECREATION,3,Not Assessed,Petersburg Marine Assessment Unit,2.6733629131,square miles
AK_M_1021010_008,Marine,WATER SUPPLY,5,Not Supporting,Petersburg Marine Assessment Unit,2.6733629131,square miles
AK_M_1021010_008,Marine,WATER SUPPLY,2,Fully Supporting,Petersburg Marine Assessment Unit,2.6733629131,square miles
AK_M_1021109_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Port Fredrick-Frontal Icy Strait,49.0208071031,square miles
AK_M_1021109_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Port Fredrick-Frontal Icy Strait,49.0208071031,square miles
AK_M_1021109_000,Marine,WATER RECREATION,3,Not Assessed,Port Fredrick-Frontal Icy Strait,49.0208071031,square miles
AK_M_1021109_000,Marine,WATER SUPPLY,3,Not Assessed,Port Fredrick-Frontal Icy Strait,49.0208071031,square miles
AK_M_1021109_013,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",5,Not Supporting,Hoonah Marine Assessment Unit,3.03134977582,square miles
AK_M_1021109_013,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Hoonah Marine Assessment Unit,3.03134977582,square miles
AK_M_1021109_013,Marine,WATER RECREATION,5,Not Supporting,Hoonah Marine Assessment Unit,3.03134977582,square miles
AK_M_1021109_013,Marine,WATER RECREATION,2,Fully Supporting,Hoonah Marine Assessment Unit,3.03134977582,square miles
AK_M_1021109_013,Marine,WATER SUPPLY,5,Not Supporting,Hoonah Marine Assessment Unit,3.03134977582,square miles
AK_M_1021109_013,Marine,WATER SUPPLY,2,Fully Supporting,Hoonah Marine Assessment Unit,3.03134977582,square miles
AK_M_1021201_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Kelp Bay,25.6078562864,square miles
AK_M_1021201_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Kelp Bay,25.6078562864,square miles
AK_M_1021201_000,Marine,WATER RECREATION,3,Not Assessed,Kelp Bay,25.6078562864,square miles
AK_M_1021201_000,Marine,WATER SUPPLY,3,Not Assessed,Kelp Bay,25.6078562864,square miles
AK_M_1021211_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Eastern Channel,22.6548819408,square miles
AK_M_1021211_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Eastern Channel,22.6548819408,square miles
AK_M_1021211_000,Marine,WATER RECREATION,3,Not Assessed,Eastern Channel,22.6548819408,square miles
AK_M_1021211_000,Marine,WATER SUPPLY,3,Not Assessed,Eastern Channel,22.6548819408,square miles
AK_M_1021211_021,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Sitka Coastal Area East,1.73824479312,square miles
AK_M_1021211_021,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Sitka Coastal Area East,1.73824479312,square miles
AK_M_1021211_021,Marine,WATER RECREATION,3,Not Assessed,Sitka Coastal Area East,1.73824479312,square miles
AK_M_1021211_021,Marine,WATER SUPPLY,3,Not Assessed,Sitka Coastal Area East,1.73824479312,square miles
AK_M_1021212_013,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Sitka Coastal Area West,3.69934838408,square miles
AK_M_1021212_013,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Sitka Coastal Area West,3.69934838408,square miles
AK_M_1021212_013,Marine,WATER RECREATION,2,Fully Supporting,Sitka Coastal Area West,3.69934838408,square miles
AK_M_1021212_013,Marine,WATER RECREATION,3,Not Assessed,Sitka Coastal Area West,3.69934838408,square miles
AK_M_1021212_013,Marine,WATER SUPPLY,2,Fully Supporting,Sitka Coastal Area West,3.69934838408,square miles
AK_M_1030106_003,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,North Gastineau Channel,6.96389758792,square miles
AK_M_1030106_003,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,North Gastineau Channel,6.96389758792,square miles
AK_M_1030106_003,Marine,WATER RECREATION,2,Fully Supporting,North Gastineau Channel,6.96389758792,square miles
AK_M_1030106_003,Marine,WATER SUPPLY,2,Fully Supporting,North Gastineau Channel,6.96389758792,square miles
AK_M_1030107_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Admiralty Island-Frontal Lynn Canal,193.764937595,square miles
AK_M_1030107_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Admiralty Island-Frontal Lynn Canal,193.764937595,square miles
AK_M_1030107_000,Marine,WATER RECREATION,3,Not Assessed,Admiralty Island-Frontal Lynn Canal,193.764937595,square miles
AK_M_1030107_000,Marine,WATER SUPPLY,3,Not Assessed,Admiralty Island-Frontal Lynn Canal,193.764937595,square miles
