Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes,Min_Assess_Period_Yrs,Min_Num_Pts
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater streams and rivers,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Inorganic Substances,Sulfate,SULFATE,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,pH,pH,PH,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Sediment,Sediment  ,SEDIMENT,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Sediment,Sediment  ,SEDIMENT,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Sediment,Sediment  ,SEDIMENT,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER RECREATION,CONTACT RECREATION,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,INDUSTRIAL,,,,,None,,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,,,,None,,,
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,SEAFOOD PROCESSING,,,,,None,,,
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,INDUSTRIAL,,,,,None,,,
Freshwater,Toxics,Alkalinity,ALKALINITY,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Alkalinity,ALKALINITY,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Marine,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Antimony,ANTIMONY,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Antimony,ANTIMONY,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Antimony,ANTIMONY,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Barium ,BARIUM,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Benzene,BENZENE,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Beryllium,BERYLLIUM,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Beryllium,BERYLLIUM,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Boron ,BORON,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Cadmium ,CADMIUM,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Cadmium ,CADMIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Cadmium ,CADMIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Cadmium ,CADMIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Chlorine,CHLORINE,Total Residual  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Chlorine,CHLORINE,Total Residual  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
